employee_id,employee_name,department,team,designation,employment_type,experience_years,joining_date,location,manager_id,skill_primary,skill_secondary,grade_level,employment_status,cost_center,capacity_hours_monthly
EMP0066,Employee 0066,Support,Team B,Data Scientist,Contract,8,2025-02-16,Noida,EMP0023,Node.js,Testing,G5,Active,CC-178,160
EMP0067,Employee 0067,HR,Team E,HR Executive,Full-Time,4,2023-06-04,Mumbai,EMP0042,React,SQL,G3,Active,CC-135,160
EMP0068,Employee 0068,Finance,Team C,Lead Engineer,Full-Time,7,2023-03-19,Delhi,EMP0064,Power BI,Cloud,G4,Active,CC-162,160
EMP0069,Employee 0069,Product,Team C,Data Scientist,Full-Time,5,2020-11-24,Delhi,EMP0067,React,SQL,G3,Active,CC-130,160
EMP0070,Employee 0070,Support,Team D,Product Analyst,Full-Time,2,2024-03-24,Remote,EMP0102,Python,SQL,G2,Active,CC-137,160
EMP0071,Employee 0071,PRODUCT,Team C,QA Engineer,Full-Time,5,2025-10-04,Remote,EMP0071,Node.js,Analytics,G3,Active,CC-154,160
EMP0072,Employee 0072,HR,Team C,Data Scientist,Full-Time,9,2021-12-12,Pune,EMP0016,React,Analytics,G5,Active,CC-115,160
EMP0073,Employee 0073,HR,Team D,HR Executive,Full-Time,4,2025-09-27,Mumbai,EMP0093,Data Science,Testing,G3,Active,CC-112,160
EMP0074,Employee 0074,Product,Team E,Data Analyst,Full-Time,9,2020-07-20,Hyderabad,EMP0036,Python,Python,G5,Active,CC-170,160
EMP0075,Employee 0075,Design,Team A,Support Engineer,Full-Time,0,2019-06-02,Delhi,EMP0074,AWS,DevOps,G1,Active,CC-161,160
EMP0076,Employee 0076,Finance,Team D,Data Scientist,Contract,6,2020-01-26,Bengaluru,EMP0106,Java,UI/UX,G4,Active,CC-162,160
EMP0077,Employee 0077,Data & Analytics,Team E,Designer,Full-Time,4,2025-01-22,Mumbai,EMP0011,React,SQL,G3,Active,CC-171,160
EMP0078,Employee 0078,Support,Team E,Designer,Full-Time,3,2024-09-07,Noida,EMP0058,Excel,Testing,G2,Active,CC-175,160
EMP0079,Employee 0079,Support,Team A,Data Analyst,Full-Time,4,2024-05-18,Pune,EMP0081,React,Testing,G3,Active,CC-184,160
EMP0080,Employee 0080,Data & Analytics,Team A,Senior Engineer,Full-Time,0,2020-09-09,Noida,EMP0058,Data Science,DevOps,G1,Active,CC-137,160
EMP0081,Employee 0081,Engineering,Team D,Lead Engineer,Full-Time,3,2021-03-26,Bengaluru,EMP0088,React,Testing,G2,Active,CC-180,160
EMP0082,Employee 0082,Sales,Team B,DevOps Engineer,Full-Time,5,2020-03-21,Mumbai,EMP0106,SQL,SQL,G3,Active,CC-107,160
EMP0083,Employee 0083,QA,Team C,HR Executive,Full-Time,8,2021-06-13,Remote,EMP0016,Excel,Testing,G5,Active,CC-189,160
EMP0084,Employee 0084,Support,Team E,Data Analyst,Full-Time,2,2023-08-12,Delhi,EMP0114,Testing,Analytics,G2,Active,CC-177,160
EMP0085,Employee 0085,Design,Team E,Junior Engineer,Full-Time,2,2019-01-10,Delhi,EMP0098,AWS,Python,G2,Active,CC-197,160
EMP0086,Employee 0086,QA,Team B,Product Analyst,Full-Time,2,2023-10-27,Noida,EMP0082,Excel,SQL,G2,Active,CC-160,160
EMP0087,Employee 0087,DevOps,Team B,QA Engineer,Full-Time,7,2021-09-27,Chennai,EMP0053,Excel,Testing,G4,Active,CC-184,160
EMP0088,Employee 0088,Support,Team C,Finance Analyst,Full-Time,5,2024-03-03,Chennai,EMP0015,Testing,Python,G3,Active,CC-184,160
EMP0089,Employee 0089,HR,Team E,Product Analyst,Full-Time,2,2022-08-20,Remote,EMP0081,Excel,Python,G2,Active,CC-126,160
EMP0090,Employee 0090,Design,Team D,Product Manager,Contract,6,2019-06-21,Bengaluru,EMP0004,Data Science,Agile,G4,Active,CC-190,160
EMP0091,Employee 0091,QA,Team B,Data Analyst,Full-Time,4,2024-03-06,Bengaluru,EMP0060,Java,Cloud,G3,Active,CC-163,160
EMP0092,Employee 0092,Design,Team D,Product Manager,Full-Time,7,2025-11-29,Pune,EMP0059,Node.js,Cloud,G4,Active,CC-149,160
EMP0093,Employee 0093,Product,Team A,Sales Executive,Full-Time,2,2024-09-21,Mumbai,EMP0099,Testing,Analytics,G2,Active,CC-164,160
EMP0094,Employee 0094,Design,Team E,Finance Analyst,Full-Time,3,2018-01-11,Remote,EMP0111,SQL,DevOps,G2,Active,CC-168,160
EMP0095,Employee 0095,Finance,Team D,Data Scientist,Full-Time,3,2021-09-23,Chennai,EMP0112,React,Agile,G2,Active,CC-173,160
EMP0096,Employee 0096,Support,Team D,Lead Engineer,Full-Time,0,2022-08-10,Noida,EMP0085,SQL,DevOps,G1,Active,CC-104,160
EMP0097,Employee 0097,QA,Team D,Product Manager,Full-Time,5,2024-08-14,Bengaluru,EMP0068,Excel,Python,G3,Active,CC-192,160
EMP0098,Employee 0098,QA,Team C,QA Engineer,Contract,5,2025-05-05,Chennai,EMP0080,Testing,SQL,G3,Active,CC-142,160
EMP0099,Employee 0099,HR,Team D,QA Engineer,Full-Time,4,2021-07-21,Delhi,EMP0080,Java,Agile,G3,Active,CC-180,160
EMP0100,Employee 0100,Design,Team A,Lead Engineer,Full-Time,3,2019-01-06,Remote,EMP0022,AWS,Python,G2,Active,CC-105,160
EMP0101,Employee 0101,DevOps,Team B,HR Executive,Full-Time,0,2018-08-18,Pune,EMP0068,Testing,Cloud,G1,Active,CC-121,160
EMP0102,Employee 0102,QA,Team B,Software Engineer,Contract,3,2024-11-01,Remote,EMP0117,Data Science,Cloud,G2,Active,CC-129,160
EMP0103,Employee 0103,Finance,Team D,DevOps Engineer,Full-Time,3,2020-11-06,Mumbai,EMP0087,Node.js,Cloud,G2,Active,CC-109,160
EMP0104,Employee 0104,Finance,Team C,Data Scientist,Full-Time,2,2024-08-03,Remote,EMP0109,AWS,Agile,G2,Inactive,CC-149,160
EMP0105,Employee 0105,Finance,Team C,Software Engineer,Full-Time,4,2020-08-29,Mumbai,EMP0003,Testing,Testing,G3,Active,CC-101,160
EMP0106,Employee 0106,Sales,Team E,Finance Analyst,Full-Time,5,2025-09-10,Remote,EMP0107,AWS,Agile,G3,On Leave,CC-177,160
EMP0107,Employee 0107,DevOps,Team B,Lead Engineer,Full-Time,10,2025-02-20,Bengaluru,EMP0116,Python,,G6,Active,CC-156,160
EMP0108,Employee 0108,Engineering,Team C,Designer,Full-Time,5,2022-02-03,Chennai,EMP0096,Testing,Cloud,G3,Active,CC-125,160
EMP0109,Employee 0109,QA,Team E,HR Executive,Contract,5,2024-01-19,Mumbai,EMP0107,SQL,Testing,G3,Active,CC-161,160
EMP0110,Employee 0110,Design,Team A,Support Engineer,Full-Time,4,2021-10-19,Hyderabad,EMP0097,React,UI/UX,G3,Active,CC-171,160
EMP0111,Employee 0111,DevOps,Team D,Software Engineer,Full-Time,0,2022-06-05,Chennai,EMP0087,AWS,UI/UX,G1,Active,CC-181,160
EMP0112,Employee 0112,DevOps,Team E,Software Engineer,Full-Time,4,2025-07-27,Chennai,EMP0118,Data Science,Agile,G3,Active,CC-182,160
EMP0113,Employee 0113,Data & Analytics,Team D,DevOps Engineer,Contract,4,2023-03-17,Bengaluru,EMP0018,Python,Python,G3,Active,CC-138,160
EMP0114,Employee 0114,Finance,Team D,Software Engineer,Full-Time,11,2019-02-03,Remote,EMP0048,Node.js,UI/UX,G6,Active,CC-175,160
EMP0115,Employee 0115,QA,Team E,Sales Executive,Full-Time,3,2022-08-27,Noida,EMP0036,Python,Analytics,G2,Active,CC-127,160
EMP0116,Employee 0116,Finance,Team C,Product Analyst,Contract,5,2020-08-25,Chennai,EMP0008,Testing,Testing,G3,Active,CC-124,160
EMP0117,Employee 0117,Data & Analytics,Team E,Finance Analyst,Full-Time,4,2023-02-06,Delhi,EMP0007,Power BI,Agile,G3,Active,CC-116,160
EMP0118,Employee 0118,Sales,Team E,Lead Engineer,Contract,0,2018-10-09,Pune,EMP0105,React,Analytics,G1,Active,CC-199,160
EMP0119,Employee 0119,QA,Team B,HR Executive,Full-Time,7,2024-09-07,Hyderabad,EMP0070,AWS,Cloud,G4,Active,CC-114,160
EMP0120,Employee 0120,Engineering,Team E,Senior Engineer,Full-Time,6,2018-03-02,Chennai,EMP0003,SQL,Testing,G4,Active,CC-106,160
EMP0121,Employee 0121,QA,Team D,Support Engineer,Full-Time,6,2022-09-21,Remote,EMP0100,Power BI,SQL,G4,Active,CC-157,160
EMP0122,Employee 0122,HR,Team E,Lead Engineer,Full-Time,1,2024-11-24,Mumbai,EMP0059,Python,Python,G1,Active,CC-161,160
EMP0123,Employee 0123,Support,Team D,QA Engineer,Full-Time,8,2025-09-11,Bengaluru,EMP0116,Java,Analytics,G5,Active,CC-177,160
EMP0124,Employee 0124,QA,Team E,Software Engineer,Full-Time,0,2019-06-01,Chennai,EMP0049,Data Science,Testing,G1,Active,CC-158,160
EMP0125,Employee 0125,HR,Team E,Designer,Full-Time,6,2022-10-29,Pune,EMP0056,Excel,Agile,G4,Active,CC-152,160
EMP0126,Employee 0126,DevOps,Team C,Finance Analyst,Full-Time,11,2023-02-01,Noida,EMP0041,AWS,Analytics,G6,Active,CC-119,160
EMP0127,Employee 0127,Finance,Team A,Software Engineer,Contract,1,2019-01-09,Chennai,EMP0104,SQL,Python,G1,Active,CC-175,160
EMP0128,Employee 0128,HR,Team D,Product Manager,Full-Time,2,2021-09-12,Delhi,EMP0037,Data Science,Testing,G2,Active,CC-145,160
EMP0129,Employee 0129,Data & Analytics,Team B,Designer,Full-Time,4,2023-09-10,Bengaluru,EMP0045,Node.js,Analytics,G3,Active,CC-114,160
EMP0130,Employee 0130,Design,Team E,Designer,Full-Time,2,2020-07-15,Delhi,EMP0078,AWS,Python,G2,Active,CC-123,160
EMP0131,Employee 0131,Design,Team B,Support Engineer,Contract,0,2021-06-19,Hyderabad,EMP0073,Testing,SQL,G1,Active,CC-118,160
EMP0132,Employee 0132,Engineering,Team C,Software Engineer,Full-Time,4,2023-12-13,Hyderabad,EMP0048,AWS,Analytics,G3,Active,CC-199,160
EMP0133,Employee 0133,Sales,Team E,Designer,Contract,1,2018-12-14,Delhi,EMP0087,Java,Testing,G1,Active,CC-156,160
EMP0134,Employee 0134,Support,Team E,Product Analyst,Full-Time,5,2024-10-22,Bengaluru,EMP0045,Testing,SQL,G3,Active,CC-136,160
EMP0135,Employee 0135,Sales,Team D,Product Analyst,Full-Time,1,2023-11-29,Delhi,EMP0001,React,Testing,G1,Active,CC-127,160
EMP0136,Employee 0136,QA,Team D,HR Executive,Full-Time,9,2020-11-12,Noida,EMP0023,SQL,UI/UX,G5,Active,CC-168,160
EMP0137,Employee 0137,Product,Team A,Product Manager,Contract,2,2024-04-07,Noida,EMP0111,Python,UI/UX,G2,Active,CC-102,160
EMP0138,Employee 0138,Finance,Team E,Sales Executive,Contract,3,2018-11-15,Noida,EMP0091,Testing,Testing,G2,Active,CC-114,160
EMP0139,Employee 0139,Support,Team D,Junior Engineer,Full-Time,6,2021-08-23,Chennai,EMP0012,Testing,SQL,G4,Inactive,CC-131,160
EMP0140,Employee 0140,Support,Team C,Designer,Full-Time,0,2022-06-29,Chennai,EMP0029,Power BI,Cloud,G1,Active,CC-109,160
EMP0141,Employee 0141,HR,Team C,DevOps Engineer,Full-Time,5,2019-04-13,Chennai,EMP0094,SQL,Agile,G3,Active,CC-113,160
EMP0142,Employee 0142,QA,Team A,Data Analyst,Full-Time,8,2020-03-19,Hyderabad,EMP0099,Excel,DevOps,G5,Active,CC-196,160
EMP0143,Employee 0143,Sales,Team E,HR Executive,Full-Time,0,2024-07-01,Chennai,EMP0111,Power BI,Cloud,G1,Active,CC-156,160
EMP0144,Employee 0144,Data & Analytics,Team E,Product Analyst,Full-Time,5,2022-12-17,Delhi,EMP0046,Node.js,SQL,G3,Active,CC-139,160
EMP0145,Employee 0145,Finance,Team A,Product Analyst,Full-Time,5,2018-06-04,Bengaluru,EMP0079,Data Science,UI/UX,G3,Active,CC-159,160
EMP0146,Employee 0146,Sales,Team B,Product Manager,Full-Time,6,2018-06-18,Chennai,EMP0078,Excel,Cloud,G4,Active,CC-107,160
EMP0147,Employee 0147,Finance,Team B,Software Engineer,Intern,0,2021-11-07,Delhi,EMP0032,Excel,DevOps,G1,Active,CC-167,100
EMP0148,Employee 0148,HR,Team D,Designer,Full-Time,0,2019-10-13,Noida,EMP0100,Power BI,Python,G1,Active,CC-180,160
EMP0149,Employee 0149,DevOps,Team C,Software Engineer,Full-Time,6,2021-09-12,Mumbai,EMP0093,Data Science,Cloud,G4,Active,CC-142,160
EMP0150,Employee 0150,Data & Analytics,Team D,Designer,Full-Time,5,2025-06-11,Hyderabad,EMP0077,Java,Testing,G3,Active,CC-171,160
EMP0151,Employee 0151,Support,Team E,DevOps Engineer,Full-Time,5,2021-09-07,Bengaluru,EMP0083,Testing,Analytics,G3,Active,CC-102,160
EMP0152,Employee 0152,DevOps,Team D,Data Analyst,Contract,5,2020-01-09,Pune,EMP0029,SQL,Cloud,G3,Active,CC-109,160
EMP0153,Employee 0153,Design,Team E,Finance Analyst,Full-Time,2,2019-02-19,Delhi,EMP0085,Power BI,Cloud,G2,Active,CC-176,160
EMP0154,Employee 0154,Support,Team E,Senior Engineer,Full-Time,5,2019-10-27,Hyderabad,EMP0093,Excel,,G3,Active,CC-152,160
EMP0155,Employee 0155,DevOps,Team D,DevOps Engineer,Contract,5,2020-08-30,Pune,EMP0069,React,Testing,G3,Active,CC-160,160
EMP0156,Employee 0156,Product,Team D,Data Scientist,Contract,2,2025-08-10,Mumbai,EMP0100,Testing,UI/UX,G2,On Leave,CC-120,160
EMP0157,Employee 0157,Product,Team D,HR Executive,Full-Time,10,2024-10-12,Chennai,EMP0071,Java,SQL,G6,Active,CC-136,160
EMP0158,Employee 0158,Data & Analytics,Team B,HR Executive,Full-Time,5,2019-10-19,Noida,EMP0012,React,DevOps,G3,Active,CC-144,160
EMP0159,Employee 0159,Engineering,Team D,QA Engineer,Full-Time,0,2018-08-07,Bengaluru,EMP0048,React,Python,G1,Active,CC-140,160
EMP0160,Employee 0160,Data & Analytics,Team A,Finance Analyst,Full-Time,6,2025-04-16,Mumbai,EMP0118,Excel,Cloud,G4,Active,CC-197,160
EMP0161,Employee 0161,Finance,Team C,Product Analyst,Full-Time,1,2024-11-25,Pune,EMP0107,SQL,UI/UX,G1,Active,CC-114,160
EMP0162,Employee 0162,Design,Team E,Lead Engineer,Full-Time,6,2021-05-18,Remote,EMP0009,Java,DevOps,G4,Active,CC-176,160
EMP0163,Employee 0163,HR,Team B,Junior Engineer,Full-Time,7,2025-02-01,Mumbai,EMP0055,Python,Analytics,G4,Active,CC-130,160
EMP0164,Employee 0164,Sales,Team C,QA Engineer,Full-Time,2,2020-02-07,Bengaluru,EMP0068,Node.js,Python,G2,Active,CC-149,160
EMP0165,Employee 0165,Finance,Team A,Junior Engineer,Full-Time,7,2025-02-16,Chennai,EMP0101,Java,Analytics,G4,Active,CC-130,160
EMP0166,Employee 0166,Data & Analytics,Team A,HR Executive,Full-Time,5,2024-07-11,Chennai,EMP0070,Power BI,Cloud,G3,Active,CC-199,160
EMP0167,Employee 0167,Finance,Team A,Support Engineer,Full-Time,6,2023-05-15,Remote,EMP0005,AWS,Agile,G4,Active,CC-105,160
EMP0168,Employee 0168,Product,Team D,Sales Executive,Full-Time,10,2018-06-21,Remote,EMP0033,Python,Agile,G6,Active,CC-136,160
EMP0169,Employee 0169,DevOps,Team A,Finance Analyst,Contract,3,2018-07-15,Chennai,EMP0056,Testing,DevOps,G2,Active,CC-149,160
EMP0170,Employee 0170,DevOps,Team E,Senior Engineer,Full-Time,2,2023-07-26,Mumbai,EMP0103,Java,UI/UX,G2,Active,CC-110,160
EMP0171,Employee 0171,Support,Team A,Designer,Full-Time,1,2020-01-10,Chennai,EMP0085,AWS,Testing,G1,Active,CC-157,160
EMP0172,Employee 0172,Sales,Team D,Support Engineer,Full-Time,2,2022-10-12,Delhi,EMP0094,Power BI,UI/UX,G2,Active,CC-135,160
EMP0173,Employee 0173,Engineering,Team B,Software Engineer,Full-Time,4,2025-07-12,Delhi,EMP0019,Data Science,DevOps,G3,Active,CC-104,160
EMP0174,Employee 0174,QA,Team D,Software Engineer,Full-Time,5,2020-08-24,Delhi,EMP0078,SQL,DevOps,G3,Active,CC-147,160
EMP0175,Employee 0175,DevOps,Team D,Product Analyst,Full-Time,5,2018-11-11,Chennai,EMP0084,AWS,Agile,G3,Active,CC-114,160
EMP0176,Employee 0176,Engineering,Team E,Support Engineer,Full-Time,6,2020-02-02,Bengaluru,EMP0034,AWS,DevOps,G4,Active,CC-127,160
EMP0177,Employee 0177,Sales,Team A,Data Analyst,Contract,4,2025-10-13,Hyderabad,EMP0110,Java,DevOps,G3,Active,CC-122,160
EMP0178,Employee 0178,Finance,Team C,Software Engineer,Contract,8,2025-08-25,Bengaluru,EMP0071,Node.js,Testing,G5,On Leave,CC-138,160
EMP0179,Employee 0179,QA,Team E,Support Engineer,Full-Time,3,2025-11-08,Pune,EMP0016,React,Cloud,G2,Active,CC-130,160
EMP0180,Employee 0180,Finance,Team E,Junior Engineer,Full-Time,12,2022-01-18,Hyderabad,EMP0079,Java,SQL,G7,Active,CC-139,160
EMP0181,Employee 0181,Support,Team E,Support Engineer,Full-Time,6,2023-05-15,Bengaluru,EMP0017,Power BI,SQL,G4,Active,CC-157,160
EMP0182,Employee 0182,Finance,Team E,DevOps Engineer,Full-Time,1,2023-10-21,Hyderabad,EMP0099,SQL,UI/UX,G1,Active,CC-164,160
EMP0183,Employee 0183,Engineering,Team B,Finance Analyst,Full-Time,1,2019-05-24,Chennai,EMP0120,React,Analytics,G1,Active,CC-166,160
